col0,col1,col2,col3,col4
Little Kern golden trout,Salmonidae,Rainbow trout,ESA,LT
Kirikuchi char,Salmonidae,Salvelinus leucomaenis,IUCN2.3,EN
Independence Valley tui chub,Cyprinidae,Gila bicolor,iucn3.1,EX
Gulf sturgeon,Acipenseridae,Acipenser oxyrinchus,iucn3.1,VU
Greenback cutthroat trout,Salmonidae,Cutthroat trout,ESA,T
Golden trout,Salmonidae,Rainbow trout,iucn3.1,NE
Dead Sea toothcarp,Cyprinodontidae,Aphanius dispar,IUCN3.1,EN
Catostomus discobolus jarrovii,Catostomidae,Catostomus discobolus,IUCN2.3,VU
Catostomus catostomus cristatus,Catostomidae,Catostomus catostomus,IUCN2.3,EX
Baikal sturgeon,Acipenseridae,Acipenser baerii,iucn2.3,EN
Atlantic sturgeon,Acipenseridae,Acipenser oxyrinchus,IUCN3.1,NT
Athabasca rainbow trout,Salmonidae,Oncorhynchus mykiss,iucn3.1,NE
Alvord cutthroat trout,Salmonidae,Oncorhynchus clarki,TNC,GX
