col0,col1,col2,col3,col4,col5
1988 Portuguese Grand Prix,March Engineering,Benetton Formula,1988 Belgian Grand Prix,1988 Italian Grand Prix,71
1987 French Grand Prix,WilliamsF1,McLaren,France,1987 Brazilian Grand Prix,80
1975 New Zealand Grand Prix,Chevrolet,Lola Cars,New Zealand,New Zealand,58
1971 Race of Champions,Tyrrell Racing,Surtees,UK,UK,50
1968 BRDC International Trophy,McLaren,Scuderia Ferrari,New Zealand,New Zealand,52
1964 Australian Grand Prix,Brabham,Cooper Car Company,Australia,Australia,63
1963 New Zealand Grand Prix,Cooper T53,Cooper T55,New Zealand,New Zealand,75
1958 New Zealand Grand Prix,Maserati 250F,Ferrari 375,New Zealand,New Zealand,75
1955 Italian Grand Prix,Mercedes-Benz in Formula One,Scuderia Ferrari,Italy,Italy,50
1953 Italian Grand Prix,Scuderia Ferrari,Scuderia Ferrari,Italy,Italy,80
1950 Paris Grand Prix,Delage,Delage,France,France,50
1950 Italian Grand Prix,Scuderia Ferrari,Alfa Romeo in Formula One,Italy,Italy,80
1948 San Remo Grand Prix,Maserati in motorsport,Maserati in motorsport,Italy,Italy,90
1948 Roussillon Grand Prix,Robert Manzon,Scuderia Ferrari,France,France,40
1947 San Remo Grand Prix,Alfa Romeo in motorsport,Alfa Romeo in motorsport,Italy,Italy,25
1947 Roussillon Grand Prix,Delage D6,Delahaye 135,France,France,58
1947 Italian Grand Prix,Alfa Romeo in motorsport,Alfa Romeo in motorsport,Italy,Italy,100
1947 French Grand Prix,Maserati in motorsport,Talbot-Lago,France,France,70
1946 Roussillon Grand Prix,Maserati 4CL,Maserati 4CL,France,France,68
1946 Nice Grand Prix,Alfa Romeo,Delahaye,France,France,65
1937 San Remo Grand Prix,Maserati in motorsport,Maserati in motorsport,Italy,Italy,30
1933 Nice Grand Prix,Bugatti,Alfa Romeo,France,France,95
1932 Nice Circuit Race,Alfa Romeo,Bugatti,France,France,15
1932 Italian Grand Prix,Maserati,Alfa Romeo in motorsport,Italy,Italy,83
1930 Monza Grand Prix,Maserati in motorsport,Maserati in motorsport,Italy,Italy,35
1928 Italian Grand Prix,Alfa Romeo,Bugatti,Italy,Italy,60
1925 Italian Grand Prix,Alfa Romeo in motorsport,Bugatti,Italy,Italy,80
1924 French Grand Prix,Delage,Delage,France,France,35
1923 French Grand Prix,Sunbeam Motor Car Company,Bugatti,France,France,35
1916 American Grand Prize,Stutz Motor Company,Hudson Motor Car Company,United States,United States,48
1914 American Grand Prize,Marmon Motor Car Company,Alco,United States,United States,48
1913 French Grand Prix,Peugot,Sunbeam Motor Car Company,France,France,29
1912 French Grand Prix,Fiat,Sunbeam Motor Car Company,France,France,20
1912 American Grand Prize,Benz Söhne,Stutz Motor Company,United States,United States,52
1911 American Grand Prize,Benz Söhne,Mercedes,United States,United States,24
1908 French Grand Prix,Benz & Cie.,Benz & Cie.,France,France,10
