col0,col1,col2,col3
San Diego Miramar College,Ed.D.,285,446
San Diego Continuing Education,Ph.D.,245,446
Saint Louis University,F. Pestello,6000,2200
Roger Williams University,D. J. Farish,165,489
Rochester Institute of Technology,W. W. Destler,2310,1544
Richland Community College,PhD,238,99
Rice University,D. Leebron,2152,665
Princeton University,C. L. Eisgruber,1103,1172
Palo Alto University,Ph.D.,48,81
Pace University,S. J. Friedman,1527,1238
Osaka University,S. Nishio,8675,2953
Orkhon University,D. Dekle,30,60
Ohio State University,M. V. Drake,21987,6254
